#TYPE System.Management.Automation.PSCustomObject
"Name","Quality","Rarity","Slot","Hero","Availibility","Descriptor","Link"
"Heart of the Emerald Sea","Standard"," Uncommon"," Weapon"," Medusa"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6677937983"
"Anchor of the Glacier Sea","Standard"," Common"," Weapon"," Tusk"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588407635"
"Anchor of the Glacier Sea","Standard"," Common"," Weapon"," Tusk"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588407633"
"Coat of the Glacier Sea","Standard"," Uncommon"," Shoulder"," Tusk"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588407638"
"Coat of the Glacier Sea","Standard"," Uncommon"," Shoulder"," Tusk"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588407632"
"Hook of the Glacier Sea","Standard"," Common"," Arms"," Tusk"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588407636"
"Hook of the Glacier Sea","Standard"," Common"," Arms"," Tusk"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588407637"
"Tusks of the Glacier Sea","Standard"," Common"," Neck"," Tusk"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588407634"
"Tusks of the Glacier Sea","Standard"," Common"," Neck"," Tusk"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706353353"
"Mask of Cerulean Light","Standard"," Mythical"," Head"," Skywrath Mage"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706353356"
"Mask of Cerulean Light","Standard"," Mythical"," Head"," Skywrath Mage"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706353357"
"Rod of Beacon's Light","Standard"," Uncommon"," Weapon"," Skywrath Mage"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706353358"
"Rod of Beacon's Light","Standard"," Uncommon"," Weapon"," Skywrath Mage"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706353354"
"Apostle of Decay Loading Screen","Standard"," Uncommon"," Loading Screen"," Other"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706357478"
